epoch,loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score,val_precision,val_recall
0,1.3507498502731323,0.37738287448883057,0.37546056509017944,1.3541769981384277,0.35164836049079895,0.323369562625885,0.41979166865348816,0.35164836049079895
1,1.2745474576950073,0.6637974977493286,0.6641973853111267,1.2817363739013672,0.7222985029220581,0.7274123430252075,0.7732684016227722,0.7222985029220581
2,1.194429636001587,0.903546154499054,0.9052872657775879,1.209991216659546,0.8603479862213135,0.8643704652786255,0.8835470080375671,0.8603479862213135
3,1.1115962266921997,0.9166666865348816,0.9185245633125305,1.140434980392456,0.9404761791229248,0.9415292739868164,0.9439394474029541,0.9404761791229248
4,1.0382708311080933,0.9558823108673096,0.9573276042938232,1.0764014720916748,0.9583333134651184,0.9606060981750488,0.96875,0.9583333134651184
5,0.9830178618431091,0.9612219929695129,0.9621696472167969,1.009426236152649,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
6,0.897493839263916,0.9719012975692749,0.9718731641769409,0.9472810626029968,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
7,0.8436379432678223,0.9901961088180542,0.9904940128326416,0.8891212344169617,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
8,0.7780950665473938,0.9712982177734375,0.9720255136489868,0.8315273523330688,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
9,0.7355781197547913,0.9757625460624695,0.9764165878295898,0.7766498327255249,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
10,0.6936467289924622,0.9803921580314636,0.9810030460357666,0.7323715686798096,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
11,0.6174986958503723,0.9901961088180542,0.9906140565872192,0.6943666338920593,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
12,0.5815461277961731,1.0,1.0,0.647903323173523,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
13,0.5367422699928284,0.9806644916534424,0.9810833930969238,0.6133190393447876,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
14,0.5368019938468933,0.9904683828353882,0.9905487298965454,0.5818518400192261,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
15,0.45528021454811096,1.0,1.0,0.5220587849617004,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
16,0.41068992018699646,0.9950980544090271,0.9953123331069946,0.47325950860977173,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
17,0.3791540563106537,0.9901961088180542,0.9906140565872192,0.42585521936416626,1.0,1.0,1.0,1.0
18,0.3389430344104767,0.9906337857246399,0.9906332492828369,0.3900837302207947,1.0,1.0,1.0,1.0
19,0.29482513666152954,1.0,1.0,0.3604285717010498,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
20,0.290243923664093,0.9950980544090271,0.9953123331069946,0.339894562959671,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
21,0.2702677845954895,1.0,1.0,0.3179248571395874,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
22,0.2467726618051529,0.9950980544090271,0.9950975179672241,0.30311888456344604,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
23,0.22782781720161438,0.9950980544090271,0.9953123331069946,0.29327142238616943,1.0,1.0,1.0,1.0
24,0.2346135675907135,0.9953703880310059,0.9952363967895508,0.2848910689353943,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
25,0.2284858077764511,1.0,1.0,0.2747255563735962,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
26,0.20098397135734558,1.0,1.0,0.27142155170440674,1.0,1.0,1.0,1.0
27,0.2014409750699997,1.0,1.0,0.2685256004333496,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
28,0.2084989696741104,0.9901961088180542,0.9906140565872192,0.26833128929138184,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
29,0.221243754029274,0.9955357313156128,0.9953205585479736,0.2671164870262146,0.9791666865348816,0.9805097579956055,0.9833333492279053,0.9791666865348816
